method,value_type,kernel_width,rho,best_tile_x,best_tile_y,best_tile_z,best_team_size,best_oversubscription_factor,best_z_batches,throughput_Mpts_s,time_ms,kernel_evaluations,preflight_rejections
Atomic,real,1,0.5000,1,1,1,32,4,1,3015.42,0.0000,0,0
Atomic,real,2,0.5000,1,1,1,4,2,1,2986.67,0.0000,0,0
Atomic,real,1,2.0000,1,1,1,8,1,1,3083.52,0.0000,0,0
Atomic,real,2,2.0000,1,1,1,2,2,1,3083.18,0.0000,0,0
Atomic,real,1,4.0000,1,1,1,1,4,1,3136.95,0.0000,0,0
Atomic,real,2,4.0000,1,1,1,4,2,1,3115.95,0.0000,0,0
Atomic,real,1,8.0000,1,1,1,2,1,1,3133.18,0.0000,0,0
Atomic,real,2,8.0000,1,1,1,8,4,1,3133.02,0.0000,0,0
Atomic,complex,1,0.5000,1,1,1,32,4,1,3015.42,0.0000,0,0
Atomic,complex,2,0.5000,1,1,1,4,2,1,2986.67,0.0000,0,0
Atomic,complex,1,2.0000,1,1,1,8,1,1,3083.52,0.0000,0,0
Atomic,complex,2,2.0000,1,1,1,2,2,1,3083.18,0.0000,0,0
Atomic,complex,1,4.0000,1,1,1,1,4,1,3136.95,0.0000,0,0
Atomic,complex,2,4.0000,1,1,1,4,2,1,3115.95,0.0000,0,0
Atomic,complex,1,8.0000,1,1,1,2,1,1,3133.18,0.0000,0,0
Atomic,complex,2,8.0000,1,1,1,8,4,1,3133.02,0.0000,0,0
