timer_name,rank,measurement_id,duration_seconds
NativeNUFFT::init,0,0,0.002250469
NativeNUFFT::init,0,1,0.001973996
NativeNUFFT1,0,0,0.131328787
NativeNUFFT1,0,1,0.005515215
NativeNUFFT1,0,2,0.005496528
NativeNUFFT1,0,3,0.005396595
NativeNUFFT1,0,4,0.005463665
NativeNUFFT1,0,5,0.005430514
NativeNUFFT1,0,6,0.005429137
NativeNUFFT1,0,7,0.0053517
NativeNUFFT1,0,8,0.005403218
NativeNUFFT1,0,9,0.005405874
NativeNUFFT1,0,10,0.005423922
NativeNUFFT1,0,11,0.005344853
NativeNUFFT1,0,12,0.005347316
NativeNUFFT1,0,13,0.005354421
NativeNUFFT1,0,14,0.005318517
NativeNUFFT1,0,15,0.005371411
NativeNUFFT1,0,16,0.005381907
NativeNUFFT1,0,17,0.005335892
NativeNUFFT1,0,18,0.005321173
NativeNUFFT1,0,19,0.005322101
NativeNUFFT1,0,20,0.005366516
NativeNUFFT1,0,21,0.005368851
NativeNUFFT1,0,22,0.005322261
NativeNUFFT1,0,23,0.00535026
NativeNUFFT1,0,24,0.005337269
scatterTimerNUFFT1,0,0,0.004997725
scatterTimerNUFFT1,0,1,0.003570371
scatterTimerNUFFT1,0,2,0.003561507
scatterTimerNUFFT1,0,3,0.00354138
scatterTimerNUFFT1,0,4,0.003535747
scatterTimerNUFFT1,0,5,0.003538852
scatterTimerNUFFT1,0,6,0.003547843
scatterTimerNUFFT1,0,7,0.003544163
scatterTimerNUFFT1,0,8,0.003540483
scatterTimerNUFFT1,0,9,0.003538435
scatterTimerNUFFT1,0,10,0.003539459
scatterTimerNUFFT1,0,11,0.003530948
scatterTimerNUFFT1,0,12,0.003517763
scatterTimerNUFFT1,0,13,0.003513413
scatterTimerNUFFT1,0,14,0.003517604
scatterTimerNUFFT1,0,15,0.00351786
scatterTimerNUFFT1,0,16,0.003516036
scatterTimerNUFFT1,0,17,0.003513092
scatterTimerNUFFT1,0,18,0.003523108
scatterTimerNUFFT1,0,19,0.003514628
scatterTimerNUFFT1,0,20,0.003516388
scatterTimerNUFFT1,0,21,0.003518659
scatterTimerNUFFT1,0,22,0.003508676
scatterTimerNUFFT1,0,23,0.003521636
scatterTimerNUFFT1,0,24,0.003516485
scatterKernel,0,0,0.004929343
scatterKernel,0,1,0.00352746
scatterKernel,0,2,0.003520324
scatterKernel,0,3,0.003501189
scatterKernel,0,4,0.0034953
scatterKernel,0,5,0.003498565
scatterKernel,0,6,0.003507332
scatterKernel,0,7,0.003504196
scatterKernel,0,8,0.003500612
scatterKernel,0,9,0.003497764
scatterKernel,0,10,0.003499524
scatterKernel,0,11,0.003490661
scatterKernel,0,12,0.003477637
scatterKernel,0,13,0.003473286
scatterKernel,0,14,0.003477381
scatterKernel,0,15,0.003477189
scatterKernel,0,16,0.003475813
scatterKernel,0,17,0.003472837
scatterKernel,0,18,0.003482853
scatterKernel,0,19,0.003474597
scatterKernel,0,20,0.003476229
scatterKernel,0,21,0.003478405
scatterKernel,0,22,0.003468421
scatterKernel,0,23,0.003481765
scatterKernel,0,24,0.00347671
scatterKernelSort,0,0,0.002139432
scatterKernelSort,0,1,0.000756173
scatterKernelSort,0,2,0.000746541
scatterKernelSort,0,3,0.000744493
scatterKernelSort,0,4,0.000736301
scatterKernelSort,0,5,0.000746508
scatterKernelSort,0,6,0.00074254
scatterKernelSort,0,7,0.000745644
scatterKernelSort,0,8,0.000739853
scatterKernelSort,0,9,0.000745548
scatterKernelSort,0,10,0.000742764
scatterKernelSort,0,11,0.000741933
scatterKernelSort,0,12,0.00073726
scatterKernelSort,0,13,0.000740269
scatterKernelSort,0,14,0.000738221
scatterKernelSort,0,15,0.000745132
scatterKernelSort,0,16,0.000735597
scatterKernelSort,0,17,0.000740109
scatterKernelSort,0,18,0.000745484
scatterKernelSort,0,19,0.000740172
scatterKernelSort,0,20,0.000737453
scatterKernelSort,0,21,0.000742988
scatterKernelSort,0,22,0.000734605
scatterKernelSort,0,23,0.000743533
scatterKernelSort,0,24,0.000733229
binSort,0,0,0.001425018
binSort,0,1,0.000746637
binSort,0,2,0.000739949
binSort,0,3,0.000738189
binSort,0,4,0.000729901
binSort,0,5,0.000740205
binSort,0,6,0.0007355
binSort,0,7,0.00073934
binSort,0,8,0.000733517
binSort,0,9,0.000739276
binSort,0,10,0.000736493
binSort,0,11,0.000735405
binSort,0,12,0.000731053
binSort,0,13,0.000733709
binSort,0,14,0.000731917
binSort,0,15,0.000738829
binSort,0,16,0.000729197
binSort,0,17,0.000733037
binSort,0,18,0.000738477
binSort,0,19,0.000733869
binSort,0,20,0.000731181
binSort,0,21,0.000735884
binSort,0,22,0.000728269
binSort,0,23,0.000737261
binSort,0,24,0.000726925
binZero,0,0,2.6431e-05
binZero,0,1,2.2048e-05
binZero,0,2,2.1888e-05
binZero,0,3,2.0896e-05
binZero,0,4,2.0799e-05
binZero,0,5,2.2015e-05
binZero,0,6,2.1887e-05
binZero,0,7,2.1727e-05
binZero,0,8,2.0351e-05
binZero,0,9,2.2047e-05
binZero,0,10,2.1759e-05
binZero,0,11,2.2655e-05
binZero,0,12,2.0895e-05
binZero,0,13,2.224e-05
binZero,0,14,2.1119e-05
binZero,0,15,2.2399e-05
binZero,0,16,2.1823e-05
binZero,0,17,2.0448e-05
binZero,0,18,2.1311e-05
binZero,0,19,1.9903e-05
binZero,0,20,2.3039e-05
binZero,0,21,2.0799e-05
binZero,0,22,2.1119e-05
binZero,0,23,2.1727e-05
binZero,0,24,2.0384e-05
binCount,0,0,7.987e-05
binCount,0,1,5.7694e-05
binCount,0,2,5.603e-05
binCount,0,3,5.7215e-05
binCount,0,4,5.4335e-05
binCount,0,5,5.5583e-05
binCount,0,6,5.4942e-05
binCount,0,7,5.4751e-05
binCount,0,8,5.5231e-05
binCount,0,9,5.4527e-05
binCount,0,10,5.4655e-05
binCount,0,11,5.3983e-05
binCount,0,12,5.4943e-05
binCount,0,13,5.6862e-05
binCount,0,14,5.4879e-05
binCount,0,15,5.4207e-05
binCount,0,16,5.5167e-05
binCount,0,17,5.4782e-05
binCount,0,18,5.4143e-05
binCount,0,19,5.4527e-05
binCount,0,20,5.5487e-05
binCount,0,21,5.4591e-05
binCount,0,22,5.4015e-05
binCount,0,23,5.4847e-05
binCount,0,24,5.4494e-05
binScan,0,0,0.001149985
binScan,0,1,0.000524882
binScan,0,2,0.00052133
binScan,0,3,0.000519666
binScan,0,4,0.000516114
binScan,0,5,0.00052501
binScan,0,6,0.000520819
binScan,0,7,0.00052485
binScan,0,8,0.000518418
binScan,0,9,0.00052085
binScan,0,10,0.000523186
binScan,0,11,0.000519122
binScan,0,12,0.000516562
binScan,0,13,0.000515923
binScan,0,14,0.000516562
binScan,0,15,0.000524178
binScan,0,16,0.00051237
binScan,0,17,0.000520146
binScan,0,18,0.000524146
binScan,0,19,0.000521266
binScan,0,20,0.000514354
binScan,0,21,0.000522866
binScan,0,22,0.000515314
binScan,0,23,0.000522898
binScan,0,24,0.000513459
binPlacement,0,0,0.000144797
binPlacement,0,1,0.000130461
binPlacement,0,2,0.000129565
binPlacement,0,3,0.000129565
binPlacement,0,4,0.000127581
binPlacement,0,5,0.000127293
binPlacement,0,6,0.000127356
binPlacement,0,7,0.000127644
binPlacement,0,8,0.000127773
binPlacement,0,9,0.000131421
binPlacement,0,10,0.000126525
binPlacement,0,11,0.000129181
binPlacement,0,12,0.000128157
binPlacement,0,13,0.000128316
binPlacement,0,14,0.000128925
binPlacement,0,15,0.000127581
binPlacement,0,16,0.000127997
binPlacement,0,17,0.000127197
binPlacement,0,18,0.000128509
binPlacement,0,19,0.000127709
binPlacement,0,20,0.000127869
binPlacement,0,21,0.000127196
binPlacement,0,22,0.000127357
binPlacement,0,23,0.000127421
binPlacement,0,24,0.000128124
accumulateHaloNUFFT1,0,0,7.315e-05
accumulateHaloNUFFT1,0,1,5.4782e-05
accumulateHaloNUFFT1,0,2,5.1423e-05
accumulateHaloNUFFT1,0,3,4.7198e-05
accumulateHaloNUFFT1,0,4,4.7199e-05
accumulateHaloNUFFT1,0,5,5.107e-05
accumulateHaloNUFFT1,0,6,4.4638e-05
accumulateHaloNUFFT1,0,7,5.0495e-05
accumulateHaloNUFFT1,0,8,4.7647e-05
