timer_name,rank,measurement_id,duration_seconds
NativeNUFFT::init,0,0,0.012348756
NativeNUFFT::init,0,1,0.012238167
NativeNUFFT1,0,0,0.92838445
NativeNUFFT1,0,1,0.912606763
NativeNUFFT1,0,2,0.912475501
NativeNUFFT1,0,3,0.912231891
NativeNUFFT1,0,4,0.91153911
NativeNUFFT1,0,5,0.911896861
NativeNUFFT1,0,6,0.913499985
NativeNUFFT1,0,7,0.912093719
NativeNUFFT1,0,8,0.912543307
NativeNUFFT1,0,9,0.912735367
NativeNUFFT1,0,10,0.912331377
NativeNUFFT1,0,11,0.908560151
NativeNUFFT1,0,12,0.91221986
NativeNUFFT1,0,13,0.912448334
NativeNUFFT1,0,14,0.912832515
NativeNUFFT1,0,15,0.912934945
NativeNUFFT1,0,16,0.912816325
NativeNUFFT1,0,17,0.913410132
NativeNUFFT1,0,18,0.912861411
NativeNUFFT1,0,19,0.911745217
NativeNUFFT1,0,20,0.912372785
NativeNUFFT1,0,21,0.912124918
NativeNUFFT1,0,22,0.912204533
NativeNUFFT1,0,23,0.91244155
NativeNUFFT1,0,24,0.911817535
scatterTimerNUFFT1,0,0,0.911786272
scatterTimerNUFFT1,0,1,0.901440982
scatterTimerNUFFT1,0,2,0.901420054
scatterTimerNUFFT1,0,3,0.901181693
scatterTimerNUFFT1,0,4,0.90046536
scatterTimerNUFFT1,0,5,0.900858597
scatterTimerNUFFT1,0,6,0.902194402
scatterTimerNUFFT1,0,7,0.900984387
scatterTimerNUFFT1,0,8,0.901474165
scatterTimerNUFFT1,0,9,0.901712879
scatterTimerNUFFT1,0,10,0.901294202
scatterTimerNUFFT1,0,11,0.897516895
scatterTimerNUFFT1,0,12,0.901199037
scatterTimerNUFFT1,0,13,0.901370008
scatterTimerNUFFT1,0,14,0.901784781
scatterTimerNUFFT1,0,15,0.901902473
scatterTimerNUFFT1,0,16,0.901852715
scatterTimerNUFFT1,0,17,0.902344509
scatterTimerNUFFT1,0,18,0.901708206
scatterTimerNUFFT1,0,19,0.900699818
scatterTimerNUFFT1,0,20,0.901283834
scatterTimerNUFFT1,0,21,0.901091424
scatterTimerNUFFT1,0,22,0.901098912
scatterTimerNUFFT1,0,23,0.901379191
scatterTimerNUFFT1,0,24,0.900792359
scatterKernel,0,0,0.910363462
scatterKernel,0,1,0.900047707
scatterKernel,0,2,0.900026716
scatterKernel,0,3,0.899790434
scatterKernel,0,4,0.899072533
scatterKernel,0,5,0.899464747
scatterKernel,0,6,0.900803111
scatterKernel,0,7,0.899591496
scatterKernel,0,8,0.900082426
scatterKernel,0,9,0.90031954
scatterKernel,0,10,0.899901696
scatterKernel,0,11,0.896123877
scatterKernel,0,12,0.899805378
scatterKernel,0,13,0.899975998
scatterKernel,0,14,0.90039317
scatterKernel,0,15,0.900508367
scatterKernel,0,16,0.900459984
scatterKernel,0,17,0.900951939
scatterKernel,0,18,0.900315925
scatterKernel,0,19,0.899306415
scatterKernel,0,20,0.899892864
scatterKernel,0,21,0.899698213
scatterKernel,0,22,0.899704006
scatterKernel,0,23,0.899985118
scatterKernel,0,24,0.899399404
scatterKernelSort,0,0,0.063088224
scatterKernelSort,0,1,0.049855364
scatterKernelSort,0,2,0.050009216
scatterKernelSort,0,3,0.049834276
scatterKernelSort,0,4,0.049741735
scatterKernelSort,0,5,0.049830789
scatterKernelSort,0,6,0.05007091
scatterKernelSort,0,7,0.049820197
scatterKernelSort,0,8,0.049875875
scatterKernelSort,0,9,0.050401333
scatterKernelSort,0,10,0.050041535
scatterKernelSort,0,11,0.049718471
scatterKernelSort,0,12,0.049758406
scatterKernelSort,0,13,0.049701001
scatterKernelSort,0,14,0.04998208
scatterKernelSort,0,15,0.050042879
scatterKernelSort,0,16,0.050044704
scatterKernelSort,0,17,0.050434964
scatterKernelSort,0,18,0.050186204
scatterKernelSort,0,19,0.049360816
scatterKernelSort,0,20,0.050179355
scatterKernelSort,0,21,0.049382096
scatterKernelSort,0,22,0.049829765
scatterKernelSort,0,23,0.049605034
scatterKernelSort,0,24,0.049666537
binSort,0,0,0.049597994
binSort,0,1,0.049847428
binSort,0,2,0.050002112
binSort,0,3,0.049827908
binSort,0,4,0.049734599
binSort,0,5,0.049823749
binSort,0,6,0.05006307
binSort,0,7,0.049813509
binSort,0,8,0.049868515
binSort,0,9,0.050395093
binSort,0,10,0.050034463
binSort,0,11,0.049712199
binSort,0,12,0.049752198
binSort,0,13,0.049693193
binSort,0,14,0.049974912
binSort,0,15,0.050035423
binSort,0,16,0.050038048
binSort,0,17,0.050428692
binSort,0,18,0.0501783
binSort,0,19,0.049354545
binSort,0,20,0.050172283
binSort,0,21,0.049375408
binSort,0,22,0.049822789
binSort,0,23,0.049598699
binSort,0,24,0.049659497
binZero,0,0,0.000458579
binZero,0,1,0.00043778
binZero,0,2,0.000437812
binZero,0,3,0.000438132
binZero,0,4,0.000438869
binZero,0,5,0.000438388
binZero,0,6,0.000432884
binZero,0,7,0.000437332
binZero,0,8,0.000437844
binZero,0,9,0.000439444
binZero,0,10,0.000438868
binZero,0,11,0.000438644
binZero,0,12,0.000437172
binZero,0,13,0.00044258
binZero,0,14,0.000437588
binZero,0,15,0.000437332
binZero,0,16,0.000438133
binZero,0,17,0.000438516
binZero,0,18,0.000449172
binZero,0,19,0.000437812
binZero,0,20,0.000437268
binZero,0,21,0.000439092
binZero,0,22,0.00043762
binZero,0,23,0.000436693
binZero,0,24,0.000437589
binCount,0,0,0.00215191
binCount,0,1,0.002109607
binCount,0,2,0.002115047
binCount,0,3,0.002105191
binCount,0,4,0.002105831
binCount,0,5,0.002103912
binCount,0,6,0.002120679
binCount,0,7,0.002105896
binCount,0,8,0.002105735
binCount,0,9,0.002104967
binCount,0,10,0.002104712
binCount,0,11,0.002106279
binCount,0,12,0.002103111
binCount,0,13,0.002100328
binCount,0,14,0.002104455
binCount,0,15,0.002105128
binCount,0,16,0.002103656
binCount,0,17,0.002119943
binCount,0,18,0.002102535
binCount,0,19,0.002105767
binCount,0,20,0.002103624
binCount,0,21,0.002108775
binCount,0,22,0.002106599
