timer_name,rank,measurement_id,duration_seconds
NativeNUFFT::init,0,0,0.012503951
NativeNUFFT::init,0,1,0.012134201
NativeNUFFT1,0,0,0.421203442
NativeNUFFT1,0,1,0.400085034
NativeNUFFT1,0,2,0.401264042
NativeNUFFT1,0,3,0.401383047
NativeNUFFT1,0,4,0.401586626
NativeNUFFT1,0,5,0.401070127
NativeNUFFT1,0,6,0.401238378
NativeNUFFT1,0,7,0.401148621
NativeNUFFT1,0,8,0.40112395
NativeNUFFT1,0,9,0.40108184
NativeNUFFT1,0,10,0.401141901
NativeNUFFT1,0,11,0.401329777
NativeNUFFT1,0,12,0.401003299
NativeNUFFT1,0,13,0.401010723
NativeNUFFT1,0,14,0.401170207
NativeNUFFT1,0,15,0.401127968
NativeNUFFT1,0,16,0.401128767
NativeNUFFT1,0,17,0.401018531
NativeNUFFT1,0,18,0.401038498
NativeNUFFT1,0,19,0.401253277
NativeNUFFT1,0,20,0.401066882
NativeNUFFT1,0,21,0.401229085
NativeNUFFT1,0,22,0.401254045
NativeNUFFT1,0,23,0.401054466
NativeNUFFT1,0,24,0.401023555
scatterTimerNUFFT1,0,0,0.404475859
scatterTimerNUFFT1,0,1,0.388926678
scatterTimerNUFFT1,0,2,0.390215603
scatterTimerNUFFT1,0,3,0.390302129
scatterTimerNUFFT1,0,4,0.390518635
scatterTimerNUFFT1,0,5,0.390004281
scatterTimerNUFFT1,0,6,0.390234803
scatterTimerNUFFT1,0,7,0.3901853
scatterTimerNUFFT1,0,8,0.390112886
scatterTimerNUFFT1,0,9,0.390058264
scatterTimerNUFFT1,0,10,0.390164853
scatterTimerNUFFT1,0,11,0.390329818
scatterTimerNUFFT1,0,12,0.390021547
scatterTimerNUFFT1,0,13,0.390040331
scatterTimerNUFFT1,0,14,0.390176551
scatterTimerNUFFT1,0,15,0.390173926
scatterTimerNUFFT1,0,16,0.390168039
scatterTimerNUFFT1,0,17,0.390068041
scatterTimerNUFFT1,0,18,0.390052777
scatterTimerNUFFT1,0,19,0.390286276
scatterTimerNUFFT1,0,20,0.39011476
scatterTimerNUFFT1,0,21,0.390181126
scatterTimerNUFFT1,0,22,0.390312675
scatterTimerNUFFT1,0,23,0.390127752
scatterTimerNUFFT1,0,24,0.390103016
scatterKernel,0,0,0.403057625
scatterKernel,0,1,0.387541243
scatterKernel,0,2,0.388834296
scatterKernel,0,3,0.38892063
scatterKernel,0,4,0.389135472
scatterKernel,0,5,0.38862323
scatterKernel,0,6,0.388853081
scatterKernel,0,7,0.388804185
scatterKernel,0,8,0.388730235
scatterKernel,0,9,0.388676189
scatterKernel,0,10,0.388782971
scatterKernel,0,11,0.388946943
scatterKernel,0,12,0.388639504
scatterKernel,0,13,0.388658225
scatterKernel,0,14,0.388793708
scatterKernel,0,15,0.38879166
scatterKernel,0,16,0.388784844
scatterKernel,0,17,0.388685455
scatterKernel,0,18,0.388670416
scatterKernel,0,19,0.388903337
scatterKernel,0,20,0.388732173
scatterKernel,0,21,0.388798699
scatterKernel,0,22,0.388930121
scatterKernel,0,23,0.388746093
scatterKernel,0,24,0.388720557
scatterKernelSort,0,0,0.063576272
scatterKernelSort,0,1,0.048914907
scatterKernelSort,0,2,0.049326639
scatterKernelSort,0,3,0.049289809
