timer_name,rank,measurement_id,duration_seconds
NativeNUFFT::init,0,0,0.012514768
NativeNUFFT::init,0,1,0.012210487
NativeNUFFT1,0,0,0.176994786
NativeNUFFT1,0,1,0.157034331
NativeNUFFT1,0,2,0.15721471
NativeNUFFT1,0,3,0.157893315
NativeNUFFT1,0,4,0.15739253
NativeNUFFT1,0,5,0.157477616
NativeNUFFT1,0,6,0.157778952
NativeNUFFT1,0,7,0.157444944
NativeNUFFT1,0,8,0.157221301
NativeNUFFT1,0,9,0.157168696
NativeNUFFT1,0,10,0.1581751
NativeNUFFT1,0,11,0.157080795
NativeNUFFT1,0,12,0.157107321
NativeNUFFT1,0,13,0.158086398
NativeNUFFT1,0,14,0.157259764
NativeNUFFT1,0,15,0.157081082
NativeNUFFT1,0,16,0.157607629
NativeNUFFT1,0,17,0.157795399
NativeNUFFT1,0,18,0.157098905
NativeNUFFT1,0,19,0.157227669
NativeNUFFT1,0,20,0.158034463
NativeNUFFT1,0,21,0.157161561
NativeNUFFT1,0,22,0.157504911
NativeNUFFT1,0,23,0.157771432
NativeNUFFT1,0,24,0.157464239
scatterTimerNUFFT1,0,0,0.160425696
scatterTimerNUFFT1,0,1,0.14609389
scatterTimerNUFFT1,0,2,0.146253117
scatterTimerNUFFT1,0,3,0.147037448
scatterTimerNUFFT1,0,4,0.146377274
scatterTimerNUFFT1,0,5,0.146561462
scatterTimerNUFFT1,0,6,0.146868813
scatterTimerNUFFT1,0,7,0.146529877
scatterTimerNUFFT1,0,8,0.14635417
scatterTimerNUFFT1,0,9,0.146289692
scatterTimerNUFFT1,0,10,0.147346625
scatterTimerNUFFT1,0,11,0.146221887
scatterTimerNUFFT1,0,12,0.146227359
scatterTimerNUFFT1,0,13,0.147201923
scatterTimerNUFFT1,0,14,0.146398585
scatterTimerNUFFT1,0,15,0.146238973
scatterTimerNUFFT1,0,16,0.146769072
scatterTimerNUFFT1,0,17,0.146901964
scatterTimerNUFFT1,0,18,0.146247293
scatterTimerNUFFT1,0,19,0.146298043
scatterTimerNUFFT1,0,20,0.147192483
scatterTimerNUFFT1,0,21,0.146276349
scatterTimerNUFFT1,0,22,0.146655092
scatterTimerNUFFT1,0,23,0.14692398
scatterTimerNUFFT1,0,24,0.146612051
scatterKernel,0,0,0.159027014
scatterKernel,0,1,0.144730599
scatterKernel,0,2,0.144892385
scatterKernel,0,3,0.145676204
scatterKernel,0,4,0.145014846
scatterKernel,0,5,0.145199546
scatterKernel,0,6,0.14550613
scatterKernel,0,7,0.14516841
scatterKernel,0,8,0.144994591
scatterKernel,0,9,0.144927168
scatterKernel,0,10,0.145985093
scatterKernel,0,11,0.144861059
scatterKernel,0,12,0.144867811
scatterKernel,0,13,0.145841448
scatterKernel,0,14,0.145038046
scatterKernel,0,15,0.14487805
scatterKernel,0,16,0.145407764
scatterKernel,0,17,0.145542545
scatterKernel,0,18,0.144885538
scatterKernel,0,19,0.144938433
scatterKernel,0,20,0.1458314
scatterKernel,0,21,0.144916097
scatterKernel,0,22,0.145293976
scatterKernel,0,23,0.145563153
scatterKernel,0,24,0.145250744
scatterKernelSort,0,0,0.063132764
scatterKernelSort,0,1,0.048893372
scatterKernelSort,0,2,0.049131156
scatterKernelSort,0,3,0.04988384
scatterKernelSort,0,4,0.04914722
scatterKernelSort,0,5,0.049321169
scatterKernelSort,0,6,0.049625032
scatterKernelSort,0,7,0.049334191
scatterKernelSort,0,8,0.049182675
scatterKernelSort,0,9,0.049130292
scatterKernelSort,0,10,0.050156666
scatterKernelSort,0,11,0.049050616
scatterKernelSort,0,12,0.049037688
scatterKernelSort,0,13,0.04996291
scatterKernelSort,0,14,0.049189875
scatterKernelSort,0,15,0.049031927
scatterKernelSort,0,16,0.049561386
scatterKernelSort,0,17,0.049626728
scatterKernelSort,0,18,0.049029304
scatterKernelSort,0,19,0.049128405
scatterKernelSort,0,20,0.049954654
scatterKernelSort,0,21,0.049082934
scatterKernelSort,0,22,0.049432877
scatterKernelSort,0,23,0.049721446
scatterKernelSort,0,24,0.049378381
binSort,0,0,0.04958833
binSort,0,1,0.048886236
binSort,0,2,0.04912386
binSort,0,3,0.049877504
binSort,0,4,0.04914082
binSort,0,5,0.049314161
binSort,0,6,0.049618728
binSort,0,7,0.049327119
binSort,0,8,0.049175219
binSort,0,9,0.049124085
binSort,0,10,0.050150522
binSort,0,11,0.04904364
binSort,0,12,0.049030104
binSort,0,13,0.049955774
binSort,0,14,0.049183603
binSort,0,15,0.049024791
binSort,0,16,0.049553034
binSort,0,17,0.049619688
binSort,0,18,0.049022328
binSort,0,19,0.049121429
binSort,0,20,0.049947614
binSort,0,21,0.049075959
binSort,0,22,0.049426669
binSort,0,23,0.049715206
binSort,0,24,0.049371437
binZero,0,0,0.000454324
binZero,0,1,0.000433588
binZero,0,2,0.000435093
binZero,0,3,0.000433812
binZero,0,4,0.000434197
binZero,0,5,0.000432789
binZero,0,6,0.000436852
binZero,0,7,0.000431669
binZero,0,8,0.00043394
binZero,0,9,0.000434325
binZero,0,10,0.000433972
binZero,0,11,0.000433333
binZero,0,12,0.000433716
