tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,7.46,7.45,7.28,6.98,6.24,5.66,4.60
2,50.18,47.81,44.37,35.76,28.28,21.05,12.91
3,118.87,102.71,80.72,54.82,38.50,21.69,12.53
4,177.61,128.90,91.23,56.35,30.89,17.44,13.34
5,186.22,125.75,83.11,40.65,22.90,17.45,7.43
6,173.54,109.81,58.94,29.09,22.34,9.32,7.40
7,146.71,76.80,41.92,29.02,11.94,9.43,7.52
8,104.69,54.92,41.17,15.35,12.01,9.56,nan
