method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
OutputFocused,uniform,2,3,2097152,128,1.0,43.8650,0.2692,43.5738,44.1530,43.7237,47.81,20.92,ok
Tiled,uniform,3,3,2097152,128,1.0,17.4176,0.1123,17.2267,17.5135,17.4605,120.40,8.31,ok
OutputFocused,uniform,3,3,2097152,128,1.0,20.4184,0.1438,20.1614,20.4938,20.4793,102.71,9.74,ok
Tiled,uniform,4,3,2097152,128,1.0,9.9489,0.0558,9.8682,10.0094,9.9725,210.79,4.74,ok
OutputFocused,uniform,4,3,2097152,128,1.0,16.2699,0.0490,16.2071,16.3359,16.2677,128.90,7.76,ok
Tiled,uniform,5,3,2097152,128,1.0,7.4092,0.0085,7.4009,7.4210,7.4092,283.05,3.53,ok
OutputFocused,uniform,5,3,2097152,128,1.0,16.6777,0.0836,16.5519,16.7460,16.7094,125.75,7.95,ok
Tiled,uniform,6,3,2097152,128,1.0,6.7519,0.0422,6.6952,6.7855,6.7781,310.60,3.22,ok
OutputFocused,uniform,6,3,2097152,128,1.0,19.0986,0.0568,19.0271,19.1781,19.0910,109.81,9.11,ok
Tiled,uniform,7,3,2097152,128,1.0,6.3037,0.0953,6.2522,6.4717,6.2529,332.69,3.01,ok
OutputFocused,uniform,7,3,2097152,128,1.0,27.3060,0.0597,27.2510,27.3971,27.3125,76.80,13.02,ok
Tiled,uniform,8,3,2097152,128,1.0,6.2565,0.0549,6.2166,6.3528,6.2351,335.20,2.98,ok
OutputFocused,uniform,8,3,2097152,128,1.0,38.1867,0.0369,38.1401,38.2344,38.1799,54.92,18.21,ok
Tiled,uniform,1,4,2097152,128,1.0,371.1021,4.2196,366.8841,375.6904,368.7602,5.65,176.96,ok
OutputFocused,uniform,1,4,2097152,128,1.0,288.0468,0.0036,288.0409,288.0495,288.0487,7.28,137.35,ok
Tiled,uniform,2,4,2097152,128,1.0,47.9868,0.5812,47.2980,48.4211,48.4027,43.70,22.88,ok
OutputFocused,uniform,2,4,2097152,128,1.0,47.2673,0.4909,46.6807,47.7969,47.0565,44.37,22.54,ok
Tiled,uniform,3,4,2097152,128,1.0,19.0982,0.1050,18.9552,19.1766,19.1673,109.81,9.11,ok
OutputFocused,uniform,3,4,2097152,128,1.0,25.9798,0.1309,25.8403,26.1435,25.9252,80.72,12.39,ok
Tiled,uniform,4,4,2097152,128,1.0,10.4554,0.0658,10.3769,10.5284,10.4784,200.58,4.99,ok
OutputFocused,uniform,4,4,2097152,128,1.0,22.9877,0.0506,22.9027,23.0299,23.0117,91.23,10.96,ok
Tiled,uniform,5,4,2097152,128,1.0,8.7453,0.0976,8.6706,8.9018,8.6995,239.80,4.17,ok
OutputFocused,uniform,5,4,2097152,128,1.0,25.2335,0.0501,25.1796,25.2915,25.2325,83.11,12.03,ok
Tiled,uniform,6,4,2097152,128,1.0,7.8583,0.0910,7.8004,8.0178,7.8124,266.87,3.75,ok
OutputFocused,uniform,6,4,2097152,128,1.0,35.5804,0.0496,35.5504,35.6681,35.5602,58.94,16.97,ok
Tiled,uniform,7,4,2097152,128,1.0,7.8422,0.0090,7.8340,7.8561,7.8402,267.42,3.74,ok
OutputFocused,uniform,7,4,2097152,128,1.0,50.0298,0.1787,49.9121,50.3430,49.9524,41.92,23.86,ok
Tiled,uniform,8,4,2097152,128,1.0,8.4502,0.0487,8.4161,8.5348,8.4283,248.18,4.03,ok
OutputFocused,uniform,8,4,2097152,128,1.0,50.9431,0.1030,50.8637,51.1179,50.9015,41.17,24.29,ok
Tiled,uniform,1,5,2097152,128,1.0,423.9073,1.6947,422.1246,426.3633,423.8823,4.95,202.13,ok
OutputFocused,uniform,1,5,2097152,128,1.0,300.4646,3.6621,297.7142,306.2778,298.3176,6.98,143.27,ok
Tiled,uniform,2,5,2097152,128,1.0,63.8323,0.3200,63.3279,64.1078,63.9894,32.85,30.44,ok
OutputFocused,uniform,2,5,2097152,128,1.0,58.6522,0.2653,58.1779,58.7816,58.7669,35.76,27.97,ok
Tiled,uniform,3,5,2097152,128,1.0,24.0164,0.1446,23.7585,24.0941,24.0828,87.32,11.45,ok
OutputFocused,uniform,3,5,2097152,128,1.0,38.2554,0.0912,38.1245,38.3807,38.2603,54.82,18.24,ok
Tiled,uniform,4,5,2097152,128,1.0,15.4575,0.0833,15.3090,15.5071,15.4925,135.67,7.37,ok
OutputFocused,uniform,4,5,2097152,128,1.0,37.2171,0.0553,37.1329,37.2693,37.2363,56.35,17.75,ok
Tiled,uniform,5,5,2097152,128,1.0,11.7982,0.0278,11.7686,11.8375,11.8005,177.75,5.63,ok
OutputFocused,uniform,5,5,2097152,128,1.0,51.5947,0.0193,51.5707,51.6134,51.5964,40.65,24.60,ok
Tiled,uniform,6,5,2097152,128,1.0,11.1033,0.0292,11.0739,11.1450,11.0927,188.88,5.29,ok
OutputFocused,uniform,6,5,2097152,128,1.0,72.1020,0.0360,72.0673,72.1617,72.0982,29.09,34.38,ok
Tiled,uniform,7,5,2097152,128,1.0,11.0212,0.0252,10.9811,11.0431,11.0320,190.28,5.26,ok
OutputFocused,uniform,7,5,2097152,128,1.0,72.2683,0.0575,72.1897,72.3499,72.2606,29.02,34.46,ok
Tiled,uniform,8,5,2097152,128,1.0,12.8195,0.0771,12.7667,12.9540,12.7830,163.59,6.11,ok
OutputFocused,uniform,8,5,2097152,128,1.0,136.5778,0.1494,136.4444,136.8275,136.5222,15.35,65.13,ok
Tiled,uniform,1,6,2097152,128,1.0,525.7063,4.6348,520.4528,529.1199,529.0531,3.99,250.68,ok
OutputFocused,uniform,1,6,2097152,128,1.0,335.8876,3.8606,330.2706,338.7388,338.4720,6.24,160.16,ok
Tiled,uniform,2,6,2097152,128,1.0,78.5820,0.0201,78.5574,78.6126,78.5822,26.69,37.47,ok
OutputFocused,uniform,2,6,2097152,128,1.0,74.1624,0.4397,73.4406,74.5200,74.2536,28.28,35.36,ok
Tiled,uniform,3,6,2097152,128,1.0,32.2210,0.1471,32.0329,32.3911,32.1960,65.09,15.36,ok
OutputFocused,uniform,3,6,2097152,128,1.0,54.4664,0.1251,54.3428,54.6498,54.4484,38.50,25.97,ok
Tiled,uniform,4,6,2097152,128,1.0,20.4163,0.0765,20.3424,20.5112,20.3798,102.72,9.74,ok
OutputFocused,uniform,4,6,2097152,128,1.0,67.8929,0.0899,67.7726,67.9876,67.9393,30.89,32.37,ok
Tiled,uniform,5,6,2097152,128,1.0,18.4232,0.0405,18.3534,18.4522,18.4332,113.83,8.78,ok
OutputFocused,uniform,5,6,2097152,128,1.0,91.5858,0.0518,91.5035,91.6302,91.5958,22.90,43.67,ok
Tiled,uniform,6,6,2097152,128,1.0,18.1287,0.0244,18.1018,18.1640,18.1191,115.68,8.64,ok
OutputFocused,uniform,6,6,2097152,128,1.0,93.8945,0.0600,93.8004,93.9420,93.9263,22.34,44.77,ok
Tiled,uniform,7,6,2097152,128,1.0,21.3430,0.0228,21.3136,21.3730,21.3366,98.26,10.18,ok
OutputFocused,uniform,7,6,2097152,128,1.0,175.7119,0.1863,175.5280,175.9341,175.6213,11.94,83.79,ok
Tiled,uniform,8,6,2097152,128,1.0,19.3004,0.0846,19.2129,19.4370,19.2757,108.66,9.20,ok
OutputFocused,uniform,8,6,2097152,128,1.0,174.6818,0.1692,174.4939,174.8752,174.6086,12.01,83.29,ok
Tiled,uniform,1,7,2097152,128,1.0,665.1062,3.1781,662.6204,670.4561,664.6428,3.15,317.15,ok
OutputFocused,uniform,1,7,2097152,128,1.0,370.5322,2.8982,367.6184,375.4009,370.0162,5.66,176.68,ok
Tiled,uniform,2,7,2097152,128,1.0,127.5367,0.2343,127.2698,127.7576,127.6249,16.44,60.81,ok
OutputFocused,uniform,2,7,2097152,128,1.0,99.6069,0.2149,99.2270,99.7522,99.6972,21.05,47.50,ok
Tiled,uniform,3,7,2097152,128,1.0,53.0901,0.1375,52.9420,53.2906,53.0774,39.50,25.32,ok
OutputFocused,uniform,3,7,2097152,128,1.0,96.6871,0.1606,96.4663,96.8722,96.6592,21.69,46.10,ok
Tiled,uniform,4,7,2097152,128,1.0,35.4835,0.0696,35.4176,35.5776,35.4520,59.10,16.92,ok
OutputFocused,uniform,4,7,2097152,128,1.0,120.2354,0.1133,120.1413,120.4197,120.2276,17.44,57.33,ok
Tiled,uniform,5,7,2097152,128,1.0,34.4774,0.0456,34.4183,34.5258,34.4736,60.83,16.44,ok
OutputFocused,uniform,5,7,2097152,128,1.0,120.1593,0.0589,120.0768,120.2305,120.1474,17.45,57.30,ok
Tiled,uniform,6,7,2097152,128,1.0,41.0783,0.0765,41.0084,41.2009,41.0722,51.05,19.59,ok
OutputFocused,uniform,6,7,2097152,128,1.0,224.9202,0.0711,224.8730,225.0444,224.8929,9.32,107.25,ok
Tiled,uniform,7,7,2097152,128,1.0,36.0901,0.0658,36.0096,36.1700,36.1099,58.11,17.21,ok
OutputFocused,uniform,7,7,2097152,128,1.0,222.4795,0.0631,222.3880,222.5428,222.4917,9.43,106.09,ok
Tiled,uniform,8,7,2097152,128,1.0,54.7261,0.0848,54.6422,54.8691,54.7047,38.32,26.10,ok
OutputFocused,uniform,8,7,2097152,128,1.0,219.2684,0.1036,219.1912,219.4500,219.2274,9.56,104.56,ok
Tiled,uniform,1,8,2097152,128,1.0,835.9971,2.9217,832.6065,840.6452,835.7982,2.51,398.63,ok
OutputFocused,uniform,1,8,2097152,128,1.0,456.2661,3.6890,450.4945,458.7746,458.6925,4.60,217.56,ok
Tiled,uniform,2,8,2097152,128,1.0,162.4004,0.7192,161.4479,163.2339,162.6769,12.91,77.44,ok
OutputFocused,uniform,2,8,2097152,128,1.0,162.4216,0.3917,162.1139,162.8729,162.1681,12.91,77.45,ok
Tiled,uniform,3,8,2097152,128,1.0,75.1266,0.2166,74.8002,75.3263,75.0999,27.91,35.82,ok
OutputFocused,uniform,3,8,2097152,128,1.0,167.3676,0.1321,167.1956,167.4684,167.4557,12.53,79.81,ok
Tiled,uniform,4,8,2097152,128,1.0,50.6071,0.0979,50.4924,50.7347,50.6318,41.44,24.13,ok
OutputFocused,uniform,4,8,2097152,128,1.0,157.1663,0.0642,157.0962,157.2422,157.1603,13.34,74.94,ok
Tiled,uniform,5,8,2097152,128,1.0,45.6134,0.1035,45.4964,45.7126,45.6756,45.98,21.75,ok
OutputFocused,uniform,5,8,2097152,128,1.0,282.0883,0.0427,282.0449,282.1514,282.0812,7.43,134.51,ok
Tiled,uniform,6,8,2097152,128,1.0,52.0885,0.0977,52.0099,52.2507,52.0683,40.26,24.84,ok
OutputFocused,uniform,6,8,2097152,128,1.0,283.2887,0.0921,283.1606,283.4134,283.2995,7.40,135.08,ok
Tiled,uniform,7,8,2097152,128,1.0,84.9757,0.1111,84.8516,85.1245,84.9791,24.68,40.52,ok
OutputFocused,uniform,7,8,2097152,128,1.0,279.0476,0.0398,278.9808,279.0796,279.0590,7.52,133.06,ok
Tiled,uniform,8,8,2097152,128,1.0,76.9279,0.0177,76.9057,76.9530,76.9252,27.26,36.68,ok
OutputFocused,uniform,8,8,2097152,128,1.0,nan,nan,nan,nan,nan,nan,nan,failed
