method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
Tiled,uniform,1,2,2097152,128,1.0,278.2580,3.6676,275.6493,284.4029,276.2938,7.54,132.68,ok
OutputFocused,uniform,1,2,2097152,128,1.0,281.1048,0.0109,281.0950,281.1177,281.1006,7.46,134.04,ok
Tiled,uniform,2,2,2097152,128,1.0,38.6343,0.2647,38.3245,38.9123,38.5715,54.28,18.42,ok
OutputFocused,uniform,2,2,2097152,128,1.0,41.7967,0.4225,41.0414,42.0029,41.9821,50.18,19.93,ok
Tiled,uniform,3,2,2097152,128,1.0,14.3800,0.1769,14.1542,14.5345,14.4775,145.84,6.86,ok
OutputFocused,uniform,3,2,2097152,128,1.0,17.6418,0.1561,17.3678,17.7444,17.7143,118.87,8.41,ok
Tiled,uniform,4,2,2097152,128,1.0,7.9924,0.0847,7.8888,8.0624,8.0438,262.39,3.81,ok
OutputFocused,uniform,4,2,2097152,128,1.0,11.8079,0.0915,11.6956,11.8869,11.8602,177.61,5.63,ok
Tiled,uniform,5,2,2097152,128,1.0,5.8050,0.0316,5.7576,5.8378,5.8163,361.27,2.77,ok
OutputFocused,uniform,5,2,2097152,128,1.0,11.2616,0.0501,11.1782,11.3015,11.2777,186.22,5.37,ok
Tiled,uniform,6,2,2097152,128,1.0,4.8660,0.0301,4.8325,4.9072,4.8680,430.98,2.32,ok
OutputFocused,uniform,6,2,2097152,128,1.0,12.0846,0.0326,12.0456,12.1274,12.0911,173.54,5.76,ok
Tiled,uniform,7,2,2097152,128,1.0,4.4854,0.0557,4.4330,4.5662,4.4768,467.55,2.14,ok
OutputFocused,uniform,7,2,2097152,128,1.0,14.2949,0.0902,14.1996,14.4426,14.2805,146.71,6.82,ok
Tiled,uniform,8,2,2097152,128,1.0,4.3647,0.0383,4.3361,4.4297,4.3564,480.48,2.08,ok
OutputFocused,uniform,8,2,2097152,128,1.0,20.0321,0.0545,19.9836,20.1193,20.0278,104.69,9.55,ok
Tiled,uniform,1,3,2097152,128,1.0,327.5750,3.0870,323.1263,331.1530,328.6446,6.40,156.20,ok
OutputFocused,uniform,1,3,2097152,128,1.0,281.3525,2.3046,278.2933,283.0835,282.9354,7.45,134.16,ok
Tiled,uniform,2,3,2097152,128,1.0,46.7102,0.4785,45.8547,46.9384,46.9181,44.90,22.27,ok
