tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,7.54,6.40,5.65,4.95,3.99,3.15,2.51
2,54.28,44.90,43.70,32.85,26.69,16.44,12.91
3,145.84,120.40,109.81,87.32,65.09,39.50,27.91
4,262.39,210.79,200.58,135.67,102.72,59.10,41.44
5,361.27,283.05,239.80,177.75,113.83,60.83,45.98
6,430.98,310.60,266.87,188.88,115.68,51.05,40.26
7,467.55,332.69,267.42,190.28,98.26,58.11,24.68
8,480.48,335.20,248.18,163.59,108.66,38.32,27.26
