tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,515.16,447.47,443.24,355.33,344.12,130.53,235.78
2,1661.97,1398.17,1110.63,824.60,241.68,448.45,300.51
3,2136.02,1681.87,1178.86,403.38,584.16,385.30,289.06
4,2234.18,1415.39,698.89,713.05,482.93,350.89,109.10
5,1599.21,1070.04,883.74,603.10,434.99,156.53,189.42
6,1363.76,1021.52,793.84,521.06,234.20,228.74,152.42
7,1146.00,922.60,663.05,344.37,277.95,183.30,nan
8,984.51,713.59,511.03,316.95,210.90,nan,nan
