tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,62.04,55.89,43.53,30.22,21.58,10.09,5.62
2,447.46,376.44,259.46,145.42,92.70,42.74,25.08
3,1173.45,946.81,591.09,298.68,226.48,110.92,58.01
4,1998.20,1433.39,761.37,463.10,282.71,129.04,67.66
5,2473.39,1489.34,864.09,463.47,254.90,119.41,70.86
6,2612.38,1517.53,774.12,387.67,201.08,106.89,61.30
7,2662.97,1351.62,621.78,307.33,168.75,90.69,46.14
8,2395.69,1210.62,473.16,229.26,137.14,nan,nan
