tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,65.67,63.62,60.63,57.00,51.82,45.25,39.41
2,439.12,405.99,377.33,332.26,169.21,235.46,182.09
3,932.58,818.31,675.65,321.37,421.19,300.94,233.00
4,1327.13,1000.25,577.48,588.39,414.17,309.17,104.73
5,1208.04,926.05,765.86,536.03,393.96,151.30,178.93
6,1182.83,914.75,705.40,480.25,224.30,218.15,146.81
7,1072.85,841.60,603.08,327.78,262.51,176.83,nan
8,931.17,668.60,480.33,306.10,205.28,nan,nan
