method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
OutputFocused,uniform,7,4,2097152,128,1.0,3.4774,0.0049,3.4718,3.4835,3.4766,603.08,1.66,ok
Tiled,uniform,8,4,2097152,128,1.0,4.4322,0.0149,4.4184,4.4533,4.4278,473.16,2.11,ok
OutputFocused,uniform,8,4,2097152,128,1.0,4.3661,0.0060,4.3578,4.3719,4.3672,480.33,2.08,ok
Tiled,uniform,1,5,2097152,128,1.0,69.4012,0.0676,69.2888,69.4574,69.4218,30.22,33.09,ok
OutputFocused,uniform,1,5,2097152,128,1.0,36.7916,0.0900,36.7051,36.9308,36.7982,57.00,17.54,ok
Tiled,uniform,2,5,2097152,128,1.0,14.4217,0.0578,14.3594,14.4966,14.3952,145.42,6.88,ok
OutputFocused,uniform,2,5,2097152,128,1.0,6.3117,0.0868,6.2423,6.4558,6.3067,332.26,3.01,ok
Tiled,uniform,3,5,2097152,128,1.0,7.0215,0.0098,7.0085,7.0325,7.0202,298.68,3.35,ok
OutputFocused,uniform,3,5,2097152,128,1.0,6.5257,0.0060,6.5185,6.5325,6.5258,321.37,3.11,ok
Tiled,uniform,4,5,2097152,128,1.0,4.5285,0.0076,4.5219,4.5403,4.5273,463.10,2.16,ok
OutputFocused,uniform,4,5,2097152,128,1.0,3.5642,0.0070,3.5526,3.5707,3.5661,588.39,1.70,ok
Tiled,uniform,5,5,2097152,128,1.0,4.5249,0.0161,4.5147,4.5529,4.5183,463.47,2.16,ok
OutputFocused,uniform,5,5,2097152,128,1.0,3.9124,0.0041,3.9066,3.9181,3.9122,536.03,1.87,ok
Tiled,uniform,6,5,2097152,128,1.0,5.4097,0.0209,5.3829,5.4394,5.4111,387.67,2.58,ok
OutputFocused,uniform,6,5,2097152,128,1.0,4.3668,0.0017,4.3643,4.3682,4.3676,480.25,2.08,ok
Tiled,uniform,7,5,2097152,128,1.0,6.8237,0.0284,6.7807,6.8567,6.8228,307.33,3.25,ok
OutputFocused,uniform,7,5,2097152,128,1.0,6.3981,0.0240,6.3775,6.4300,6.3851,327.78,3.05,ok
Tiled,uniform,8,5,2097152,128,1.0,9.1474,0.0348,9.0979,9.1870,9.1562,229.26,4.36,ok
OutputFocused,uniform,8,5,2097152,128,1.0,6.8512,0.0037,6.8465,6.8552,6.8528,306.10,3.27,ok
Tiled,uniform,1,6,2097152,128,1.0,97.1913,0.1032,97.0790,97.3092,97.1805,21.58,46.34,ok
OutputFocused,uniform,1,6,2097152,128,1.0,40.4700,0.0561,40.4131,40.5362,40.4398,51.82,19.30,ok
Tiled,uniform,2,6,2097152,128,1.0,22.6220,0.0322,22.5855,22.6694,22.6103,92.70,10.79,ok
OutputFocused,uniform,2,6,2097152,128,1.0,12.3935,0.0382,12.3574,12.4577,12.3835,169.21,5.91,ok
Tiled,uniform,3,6,2097152,128,1.0,9.2600,0.0138,9.2409,9.2723,9.2646,226.48,4.42,ok
OutputFocused,uniform,3,6,2097152,128,1.0,4.9791,0.0090,4.9706,4.9944,4.9771,421.19,2.37,ok
Tiled,uniform,4,6,2097152,128,1.0,7.4180,0.0211,7.3976,7.4479,7.4146,282.71,3.54,ok
OutputFocused,uniform,4,6,2097152,128,1.0,5.0635,0.0027,5.0591,5.0657,5.0643,414.17,2.41,ok
Tiled,uniform,5,6,2097152,128,1.0,8.2272,0.0093,8.2118,8.2350,8.2308,254.90,3.92,ok
OutputFocused,uniform,5,6,2097152,128,1.0,5.3233,0.0028,5.3209,5.3276,5.3225,393.96,2.54,ok
Tiled,uniform,6,6,2097152,128,1.0,10.4297,0.0134,10.4107,10.4430,10.4303,201.08,4.97,ok
OutputFocused,uniform,6,6,2097152,128,1.0,9.3497,0.0195,9.3305,9.3711,9.3434,224.30,4.46,ok
Tiled,uniform,7,6,2097152,128,1.0,12.4275,0.0218,12.4051,12.4585,12.4259,168.75,5.93,ok
OutputFocused,uniform,7,6,2097152,128,1.0,7.9888,0.0089,7.9743,7.9989,7.9904,262.51,3.81,ok
Tiled,uniform,8,6,2097152,128,1.0,15.2915,0.0536,15.2433,15.3502,15.2642,137.14,7.29,ok
OutputFocused,uniform,8,6,2097152,128,1.0,10.2160,0.0052,10.2095,10.2232,10.2155,205.28,4.87,ok
Tiled,uniform,1,7,2097152,128,1.0,207.8146,0.0799,207.7242,207.8978,207.8162,10.09,99.09,ok
OutputFocused,uniform,1,7,2097152,128,1.0,46.3478,0.0846,46.2714,46.4840,46.3417,45.25,22.10,ok
Tiled,uniform,2,7,2097152,128,1.0,49.0668,0.0383,49.0285,49.1267,49.0605,42.74,23.40,ok
OutputFocused,uniform,2,7,2097152,128,1.0,8.9066,0.0586,8.8467,8.9836,8.9026,235.46,4.25,ok
Tiled,uniform,3,7,2097152,128,1.0,18.9066,0.0183,18.8819,18.9323,18.9060,110.92,9.02,ok
OutputFocused,uniform,3,7,2097152,128,1.0,6.9686,0.0115,6.9546,6.9822,6.9720,300.94,3.32,ok
Tiled,uniform,4,7,2097152,128,1.0,16.2517,0.0147,16.2321,16.2644,16.2582,129.04,7.75,ok
OutputFocused,uniform,4,7,2097152,128,1.0,6.7832,0.0080,6.7711,6.7922,6.7838,309.17,3.23,ok
Tiled,uniform,5,7,2097152,128,1.0,17.5632,0.0357,17.5193,17.6087,17.5613,119.41,8.37,ok
OutputFocused,uniform,5,7,2097152,128,1.0,13.8607,0.0235,13.8375,13.9004,13.8559,151.30,6.61,ok
Tiled,uniform,6,7,2097152,128,1.0,19.6200,0.0338,19.5784,19.6552,19.6135,106.89,9.36,ok
OutputFocused,uniform,6,7,2097152,128,1.0,9.6133,0.0055,9.6039,9.6182,9.6147,218.15,4.58,ok
Tiled,uniform,7,7,2097152,128,1.0,23.1248,0.0687,23.0269,23.2016,23.1310,90.69,11.03,ok
OutputFocused,uniform,7,7,2097152,128,1.0,11.8597,0.0094,11.8432,11.8659,11.8621,176.83,5.66,ok
Tiled,uniform,8,7,2097152,128,1.0,nan,nan,nan,nan,nan,nan,nan,failed
OutputFocused,uniform,8,7,2097152,128,1.0,nan,nan,nan,nan,nan,nan,nan,failed
Tiled,uniform,1,8,2097152,128,1.0,372.8526,0.1407,372.7285,373.0375,372.7881,5.62,177.79,ok
OutputFocused,uniform,1,8,2097152,128,1.0,53.2087,0.0504,53.1589,53.2698,53.2011,39.41,25.37,ok
Tiled,uniform,2,8,2097152,128,1.0,83.6057,0.0762,83.5241,83.7003,83.6140,25.08,39.87,ok
OutputFocused,uniform,2,8,2097152,128,1.0,11.5170,0.0529,11.4369,11.5815,11.5308,182.09,5.49,ok
Tiled,uniform,3,8,2097152,128,1.0,36.1506,0.0435,36.0999,36.2031,36.1337,58.01,17.24,ok
OutputFocused,uniform,3,8,2097152,128,1.0,9.0006,0.0062,8.9946,9.0111,8.9991,233.00,4.29,ok
Tiled,uniform,4,8,2097152,128,1.0,30.9975,0.0375,30.9431,31.0482,31.0010,67.66,14.78,ok
OutputFocused,uniform,4,8,2097152,128,1.0,20.0245,0.0240,19.9998,20.0547,20.0245,104.73,9.55,ok
Tiled,uniform,5,8,2097152,128,1.0,29.5961,0.0557,29.5330,29.6657,29.6012,70.86,14.11,ok
OutputFocused,uniform,5,8,2097152,128,1.0,11.7202,0.0087,11.7103,11.7338,11.7191,178.93,5.59,ok
Tiled,uniform,6,8,2097152,128,1.0,34.2136,0.0493,34.1311,34.2601,34.2209,61.30,16.31,ok
OutputFocused,uniform,6,8,2097152,128,1.0,14.2851,0.0066,14.2784,14.2938,14.2869,146.81,6.81,ok
Tiled,uniform,7,8,2097152,128,1.0,45.4533,0.0474,45.4013,45.5225,45.4484,46.14,21.67,ok
OutputFocused,uniform,7,8,2097152,128,1.0,nan,nan,nan,nan,nan,nan,nan,failed
Tiled,uniform,8,8,2097152,128,1.0,nan,nan,nan,nan,nan,nan,nan,failed
OutputFocused,uniform,8,8,2097152,128,1.0,nan,nan,nan,nan,nan,nan,nan,failed
