tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,487.39,336.31,176.19,90.23,56.13,23.27,11.25
2,2509.49,1737.19,863.12,374.11,211.66,90.99,51.74
3,4598.57,2682.40,1116.61,437.82,322.30,143.47,73.02
4,5537.70,2882.34,1144.28,636.38,356.26,155.84,78.70
5,5153.78,2301.77,1136.41,556.58,292.98,133.94,78.31
6,4631.50,2131.11,944.92,440.20,221.05,115.25,65.34
7,4180.91,1727.15,722.20,336.08,180.72,95.51,48.36
8,3303.26,1464.55,509.66,240.98,141.82,nan,nan
